단축코드,한글명
52L224,미래L224삼성전자콜
52L225,미래L225삼성전자콜
52L226,미래L226삼성전자콜
52L232,미래L232SK하이닉콜
52L245,미래L245셀트리온콜
52L252,미래L252카카오콜
52L262,미래L262네이버콜
52L265,미래L265한국전력콜
52L270,미래L270기아콜
52L325,미래L325삼성전자콜
52L326,미래L326삼성전자콜
52L327,미래L327삼성전자콜
52L332,미래L332SK하이닉콜
52L339,미래L339삼성SDI콜
52L345,미래L345카카오콜
52L346,미래L346카카오콜
52L351,미래L351POSCO홀콜
52L352,미래L352POSCO홀콜
52L353,미래L353POSCO홀콜
52L358,미래L358엘지전자콜
52L359,미래L359엘지전자콜
52L363,미래L363현대차콜
52L364,미래L364현대차콜
52L365,미래L365현대차콜
52L369,미래L369네이버콜
52L370,미래L370네이버콜
52L371,미래L371네이버콜
52L375,미래L375셀트리온콜
52L376,미래L376셀트리온콜
52L380,미래L380LG에너지콜
52L381,미래L381LG에너지콜
52L385,미래L385하이브콜
52L386,미래L386하이브콜
52L389,미래L389포스코퓨콜
52L393,미래L393기아콜
52L394,미래L394기아콜
52L395,미래L395기아콜
52L401,미래L401한국조선콜
52L406,미래L406LG화학콜
52L409,미래L409두산에너콜
52L412,미래L412삼성전기콜
52L414,미래L414모비스콜
52L415,미래L415모비스콜
52L418,미래L418SK이노콜
52L422,미래L422삼성바이콜
52L431,미래L431삼성전자콜
52L432,미래L432삼성전자콜
52L433,미래L433삼성전자콜
52L434,미래L434삼성전자풋
52L436,미래L436SK하이닉풋
52L438,미래L438카카오풋
52L442,미래L442네이버콜
52L443,미래L443네이버콜
52L446,미래L446POSCO홀콜
52L447,미래L447POSCO홀콜
52L448,미래L448POSCO홀콜
52L450,미래L450기아콜
52L452,미래L452LG화학콜
52L453,미래L453LG화학콜
52L454,미래L454LG화학콜
52L458,미래L458SK이노콜
52L461,미래L461LG에너지콜
52L462,미래L462LG에너지콜
52L464,미래L464현대차콜
52L466,미래L466삼성전기콜
52L469,미래L469모비스콜
52L471,미래L471한국조선풋
52L473,미래L473두산에너풋
52L475,미래L475SKC콜
52L476,미래L476크래프톤콜
52L483,미래L483삼성전자콜
52L484,미래L484삼성전자콜
52L485,미래L485삼성전자콜
52L487,미래L487삼성전자풋
52L488,미래L488삼성전자풋
52L489,미래L489삼성전자풋
52L492,미래L492삼성SDI콜
52L496,미래L496엘지전자콜
52L497,미래L497엘지전자콜
52L499,미래L499LG에너지콜
52L501,미래L501기아콜
52L502,미래L502기아콜
52L504,미래L504SK하이닉콜
52L507,미래L507SK하이닉풋
52L508,미래L508SK하이닉풋
52L509,미래L509모비스콜
52L511,미래L511카카오풋
52L513,미래L513하이브콜
52L514,미래L514하이브콜
52L515,미래L515하이브콜
52L518,미래L518삼성전기콜
52L519,미래L519삼성전기콜
52L521,미래L521크래프톤콜
52L523,미래L523두산에너콜
52L525,미래L525한국조선콜
52L526,미래L526한국조선콜
52L527,미래L527한국조선콜
52L529,미래L529HMM콜
52L530,미래L530한화솔루콜
52L533,미래L533한국항공콜
52L534,미래L534하나금융콜
52L537,미래L537한화에어콜
52L538,미래L538한화에어콜
52L539,미래L539한화에어콜
52L540,미래L540한화에어콜
52L542,미래L542고려아연콜
52L543,미래L543삼성전자콜
52L544,미래L544삼성전자콜
52L545,미래L545삼성전자콜
52L546,미래L546삼성전자콜
52L547,미래L547삼성전자콜
52L548,미래L548삼성전자콜
52L549,미래L549삼성전자콜
52L550,미래L550삼성전자콜
52L551,미래L551삼성전자콜
52L552,미래L552삼성전자풋
52L553,미래L553POSCO홀콜
52L555,미래L555POSCO홀콜
52L556,미래L556POSCO홀콜
52L557,미래L557POSCO홀콜
52L558,미래L558POSCO홀콜
52L559,미래L559네이버콜
52L560,미래L560네이버콜
52L561,미래L561네이버콜
52L562,미래L562네이버콜
52L563,미래L563네이버콜
52L564,미래L564네이버콜
52L565,미래L565삼성SDI콜
52L566,미래L566HMM콜
52L567,미래L567HMM콜
52L568,미래L568HMM콜
52L569,미래L569HMM콜
52L570,미래L570하이브콜
52L571,미래L571하이브콜
52L572,미래L572하이브콜
52L573,미래L573하이브콜
52L574,미래L574현대차콜
52L575,미래L575현대차콜
52L576,미래L576현대차콜
52L577,미래L577현대차콜
52L578,미래L578현대차콜
52L579,미래L579현대차콜
52L580,미래L580기아콜
52L581,미래L581기아콜
52L582,미래L582기아콜
52L583,미래L583셀트리온콜
52L584,미래L584셀트리온콜
52L585,미래L585셀트리온콜
52L586,미래L586셀트리온콜
52L587,미래L587SK이노콜
52L588,미래L588SK이노콜
52L589,미래L589SK이노콜
52L590,미래L590SK이노콜
52L591,미래L591SK이노콜
52L592,미래L592SK하이닉콜
52L593,미래L593SK하이닉콜
52L594,미래L594SK하이닉콜
52L595,미래L595SK하이닉콜
52L596,미래L596SK하이닉콜
52L597,미래L597SK하이닉콜
52L598,미래L598SK하이닉콜
52L599,미래L599모비스콜
52L600,미래L600모비스콜
52L601,미래L601모비스콜
52L602,미래L602모비스콜
52L603,미래L603신한지주콜
52L604,미래L604신한지주콜
52L605,미래L605SK텔레콤콜
52L607,미래L607LG에너지콜
52L608,미래L608LG화학콜
52L609,미래L609LG화학콜
52L610,미래L610LG화학콜
52L611,미래L611LG화학풋
52L612,미래L612카카오콜
52L613,미래L613카카오콜
52L614,미래L614카카오콜
52L615,미래L615카카오콜
52L616,미래L616카카오콜
52L617,미래L617카카오콜
52L618,미래L618두산에너콜
52L619,미래L619두산에너콜
52L620,미래L620두산에너콜
52L621,미래L621두산에너풋
52L622,미래L622두산에너풋
52L623,미래L623크래프톤콜
52L624,미래L624크래프톤콜
52L627,미래L627한화솔루콜
52L628,미래L628한화솔루콜
52L629,미래L629KB금융콜
52L630,미래L630KB금융콜
52L631,미래L631아모레콜
52L632,미래L632아모레콜
