단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
900110,HK0000057197,이스트아시아홀딩스,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1244,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,266142,0,20100423,26286,909586230,12,,0,,N,N,298,26,37,27,2,20250630.0,327,,N,N,N
900270,HK0000214814,헝셩그룹,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,203,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,7031165,0,20160818,188047,571779873,12,,0,,N,N,458,-14,-2,0,0,20250630.0,381,,N,N,N
900260,HK0000295359,로스웰,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,939,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,151243,0,20160630,36031,1002602908,12,,0,,N,N,2504,23,66,57,5,20250630.0,338,,N,N,N
900290,HK0000307485,GRT,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2880,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,281840,0,20161025,80850,1052929473,6,,0,,N,N,9593,1373,1171,962,9,20250630.0,2328,,N,N,N
900300,HK0000312568,오가닉티코스메틱,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,370,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,34225456,0,20161104,96002,1325546285,12,,0,,N,N,769,-283,-435,-435,-35,20250630.0,355,,N,N,N
900310,HK0000341732,컬러레이,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,633,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,874822,0,20170810,64041,398343224,12,,0,,N,N,229,12,11,10,1,20250630.0,405,,N,N,N
900340,HK0000449303,윙입푸드,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,856,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,275377,0,20181130,50330,366714868,12,,0,,N,N,1000,94,74,63,6,20250630.0,430,,N,N,N
000250,KR7000250001,삼천당제약,ST,1.0,1009,1024,0,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,220500,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,145006,500,20001004,23457,11728736000,12,,0,,N,Y,1075,-4,-2,-3,-2,20250630.0,51723,,N,N,Y
000440,KR7000440008,중앙에너비스,ST,3.0,1011,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,15200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,12028,500,19930324,6227,3113565000,12,,0,,N,N,251,-12,-11,-11,-4,20250630.0,946,,N,N,N
0004Y0,KR70004Y0000,디비금융제14호스팩,ST,0.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1585,100,20250722,5315,531500000,12,,0,,N,N,0,0,0,0,0,20241231.0,106,,N,N,N
0008Z0,KR70008Z0005,에스엔시스,ST,0.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,34350,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,128522,500,20250819,9436,4914166500,12,,0,,N,N,730,87,92,93,17,20250630.0,3241,,N,N,N
001000,KR7001000009,신라섬유,ST,3.0,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2320,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2574931,100,19940628,24277,2427754000,12,,0,,N,N,37,4,-3,-3,-2,20241231.0,563,,N,N,N
0010V0,KR70010V0005,제이피아이헬스케어,ST,0.0,1009,1029,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,17820,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,100697,500,20250821,5105,2552700000,12,,0,,N,N,243,28,23,21,11,20250630.0,909,,N,N,N
001540,KR7001540004,안국약품,ST,3.0,1009,1024,0,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,7810,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,28100,500,20000615,13042,6521210000,12,,0,,N,N,1526,108,88,66,8,20250630.0,1018,,N,N,N
001810,KR7001810001,무림SP,ST,3.0,1009,1021,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1433,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,27228,500,20000104,22137,11068750000,12,,0,,N,N,973,18,49,41,4,20250630.0,317,,N,N,N
001840,KR7001840008,이화공영,ST,3.0,1010,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,1616,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19941123,22283,11141818000,12,,0,,N,N,1283,-198,-232,-231,-174,20241231.0,360,,N,N,N
002230,KR7002230001,피에스텍,ST,3.0,1009,1029,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3980,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,18194,500,19910104,19273,9834621500,12,,0,,N,N,557,34,54,46,7,20250630.0,767,,N,N,N
002290,KR7002290005,삼일기업공사,ST,3.0,1010,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3595,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,131172,500,19921130,12400,6200000000,12,,0,,N,N,1127,57,70,58,9,20241231.0,445,,N,N,N
002680,KR7002680007,한탑,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,702,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,153134,500,19950707,32316,16158399500,12,,0,,N,N,418,16,24,23,10,20250630.0,226,,N,N,N
002800,KR7002800001,신신제약,ST,3.0,1009,1024,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5150,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,32466,500,20170228,15170,7585250000,12,,0,,N,N,549,35,24,24,7,20250630.0,781,,N,N,N
003100,KR7003100005,선광,ST,3.0,1013,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,18000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,7106,1000,19991221,6600,6600000000,12,,0,,N,N,932,174,170,166,8,20250630.0,1188,,N,N,N
003310,KR7003310000,대주산업,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1491,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,160580,500,19920801,35392,18696175000,12,,0,,N,N,505,47,49,39,9,20250630.0,527,,N,N,N
003380,KR7003380003,하림지주,ST,1.0,1014,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,Y,7430,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,272343,100,20170630,112005,11242047800,12,,0,,N,N,65144,4588,4290,3702,12,20250630.0,8322,HRM,N,N,Y
0037T0,KR70037T0008,KB제32호스팩,ST,0.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,1994,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,13649,100,20250704,6330,633000000,12,,0,,N,N,0,0,0,0,0,,126,,N,N,N
003800,KR7003800000,에이스침대,ST,2.0,1009,1031,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,27350,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,7851,1000,19960503,11090,11090000000,12,,0,,N,N,1579,290,415,322,9,20250630.0,3033,,N,N,N
0041B0,KR70041B0002,교보18호스팩,ST,0.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2055,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,9011,100,20250814,5040,504000000,12,,0,,N,N,0,0,0,0,0,,103,,N,N,N
0041J0,KR70041J0004,엘에스스팩1호,ST,0.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,1997,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,20664,100,20250722,4110,411000000,12,,0,,N,N,0,0,0,0,0,,82,,N,N,N
0041L0,KR70041L0000,하나35호스팩,ST,0.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,1999,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6904,100,20250806,6030,603000000,12,,0,,N,N,0,0,0,0,0,,120,,N,N,N
0044K0,KR70044K0008,삼성스팩10호,ST,0.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,1994,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6559,100,20250821,7520,752000000,12,,0,,N,N,0,0,0,0,0,,149,,N,N,N
004590,KR7004590006,한국가구,ST,3.0,1011,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,31321,100,19930603,15000,1500000000,12,,0,,N,N,685,99,99,78,8,20250630.0,750,,N,N,N
